date,day,source,target,amount_usd,transaction_type,transaction_count
2026-02-08,39,c02,c08,42565,goods,3
2026-02-08,39,c05,c09,8210,components,2
2026-02-08,39,c08,c09,7038,goods,3
2026-02-08,39,c01,c02,37672,services,3
2026-02-08,39,c04,c11,29584,goods,3
2026-02-08,39,c06,c12,45032,materials,5
2026-02-08,39,c02,c03,32506,shipping,3
2026-02-08,39,c07,c10,6838,services,3
2026-02-08,39,c01,c10,47855,goods,1
2026-02-08,39,c09,c12,3005,shipping,5
2026-02-08,39,c01,c04,18994,materials,1
2026-02-08,39,c03,c08,49841,goods,4
2026-02-09,40,c01,c07,13713,services,4
2026-02-09,40,c05,c06,44596,shipping,1
2026-02-09,40,c05,c09,41462,goods,1
2026-02-09,40,c02,c10,24514,goods,3
2026-02-09,40,c08,c11,3570,materials,5
2026-02-09,40,c01,c02,17418,shipping,1
2026-02-09,40,c01,c09,39558,goods,3
2026-02-09,40,c06,c12,31980,components,2
2026-02-09,40,c02,c03,49915,services,4
2026-02-09,40,c09,c12,23793,goods,3
2026-02-09,40,c03,c08,26690,materials,5
2026-02-10,41,c01,c07,46894,shipping,1
2026-02-10,41,c05,c07,14571,services,1
2026-02-10,41,c05,c06,6899,services,5
2026-02-10,41,c06,c09,29865,components,5
2026-02-10,41,c05,c09,19553,components,4
2026-02-10,41,c04,c12,43340,goods,4
2026-02-10,41,c08,c11,12098,components,5
2026-02-10,41,c01,c02,46028,shipping,5
2026-02-10,41,c01,c09,27253,shipping,2
2026-02-10,41,c02,c03,26122,goods,5
2026-02-10,41,c06,c12,49334,shipping,4
2026-02-10,41,c07,c10,40642,goods,5
2026-02-10,41,c01,c05,4225,materials,2
2026-02-10,41,c03,c08,16562,services,5
2026-02-11,42,c01,c07,27842,services,1
2026-02-11,42,c03,c12,32476,goods,2
2026-02-11,42,c04,c10,26500,components,3
2026-02-11,42,c05,c09,42447,materials,3
2026-02-11,42,c07,c09,15355,materials,5
2026-02-11,42,c08,c11,18788,shipping,3
2026-02-11,42,c07,c10,12308,goods,2
2026-02-11,42,c01,c02,29516,components,1
2026-02-11,42,c01,c08,30283,materials,1
2026-02-11,42,c09,c12,3371,goods,3
2026-02-11,42,c03,c08,21967,goods,4
2026-02-12,43,c04,c12,12500,shipping,5
2026-02-12,43,c08,c11,21997,shipping,1
2026-02-12,43,c01,c02,12783,shipping,5
2026-02-12,43,c04,c11,47105,services,5
2026-02-12,43,c01,c09,14306,shipping,3
2026-02-12,43,c02,c03,39946,shipping,2
2026-02-12,43,c06,c12,15010,shipping,2
2026-02-12,43,c07,c10,18098,services,2
2026-02-12,43,c02,c06,36205,services,5
2026-02-12,43,c10,c11,24649,components,4
2026-02-12,43,c03,c08,47444,components,4
2026-02-13,44,c01,c07,13282,goods,1
2026-02-13,44,c03,c12,32455,goods,5
2026-02-13,44,c05,c06,27863,shipping,3
2026-02-13,44,c05,c09,32576,goods,5
2026-02-13,44,c08,c11,8961,shipping,5
2026-02-13,44,c01,c02,37415,services,3
2026-02-13,44,c04,c11,32162,services,3
2026-02-13,44,c01,c09,43430,goods,5
2026-02-13,44,c02,c03,16059,shipping,1
2026-02-13,44,c06,c12,36973,materials,2
2026-02-13,44,c07,c10,31670,materials,3
2026-02-13,44,c03,c09,12745,shipping,4
2026-02-13,44,c09,c12,32763,materials,3
2026-02-13,44,c03,c08,48426,shipping,2
2026-02-14,45,c01,c07,11024,materials,1
2026-02-14,45,c05,c06,26694,components,2
2026-02-14,45,c05,c09,39059,goods,5
2026-02-14,45,c08,c11,20216,components,4
2026-02-14,45,c11,c12,8031,shipping,4
2026-02-14,45,c01,c02,13883,materials,4
2026-02-14,45,c04,c11,13916,services,3
2026-02-14,45,c01,c09,45828,shipping,4
2026-02-14,45,c02,c03,28942,shipping,2
2026-02-14,45,c06,c12,19448,components,3
2026-02-14,45,c07,c10,46126,materials,4
2026-02-14,45,c02,c06,20069,components,3
2026-02-15,46,c01,c07,21646,materials,3
2026-02-15,46,c03,c12,2092,goods,1
2026-02-15,46,c05,c06,37704,components,1
2026-02-15,46,c05,c09,25169,shipping,2
2026-02-15,46,c08,c11,14083,materials,4
2026-02-15,46,c07,c10,3072,materials,4
2026-02-15,46,c02,c03,22748,goods,5
2026-02-15,46,c04,c11,40354,components,2
2026-02-15,46,c06,c12,3041,materials,4
2026-02-15,46,c09,c12,43045,services,1
2026-02-16,47,c01,c07,28048,goods,4
2026-02-16,47,c04,c05,14301,goods,4
2026-02-16,47,c07,c10,30869,materials,4
2026-02-16,47,c02,c03,26715,materials,2
2026-02-16,47,c04,c11,39021,materials,5
2026-02-16,47,c05,c08,5038,services,4
2026-02-16,47,c03,c10,27741,materials,1
2026-02-16,47,c09,c12,5283,materials,3
2026-02-16,47,c03,c08,46245,components,1
2026-02-17,48,c01,c07,42308,shipping,1
2026-02-17,48,c05,c06,21643,components,3
2026-02-17,48,c06,c09,28458,goods,4
2026-02-17,48,c05,c09,18285,shipping,4
2026-02-17,48,c07,c09,13805,goods,1
2026-02-17,48,c08,c11,17766,materials,5
2026-02-17,48,c07,c10,32109,goods,3
2026-02-17,48,c04,c11,32871,components,3
2026-02-17,48,c06,c12,25055,services,4
2026-02-17,48,c01,c09,5066,shipping,4
2026-02-17,48,c01,c08,37266,materials,1
2026-02-17,48,c03,c08,20406,materials,4
2026-02-18,49,c01,c07,47231,goods,2
2026-02-18,49,c05,c06,13035,materials,1
2026-02-18,49,c04,c10,11445,services,4
2026-02-18,49,c05,c09,38630,services,3
2026-02-18,49,c08,c11,26371,shipping,4
2026-02-18,49,c05,c10,34115,components,3
2026-02-18,49,c07,c10,48965,services,5
2026-02-18,49,c01,c02,48961,goods,1
2026-02-18,49,c02,c03,3644,components,5
2026-02-18,49,c06,c12,12197,materials,2
2026-02-18,49,c05,c08,48641,goods,4
2026-02-18,49,c09,c12,2132,components,2
2026-02-18,49,c03,c08,35213,services,4
2026-02-19,50,c01,c07,25229,shipping,1
2026-02-19,50,c05,c09,34481,shipping,4
2026-02-19,50,c08,c11,24236,goods,4
2026-02-19,50,c01,c02,22435,goods,3
2026-02-19,50,c04,c11,29582,services,3
2026-02-19,50,c06,c12,30601,materials,5
2026-02-19,50,c02,c03,32142,components,4
2026-02-19,50,c01,c05,19175,materials,5
2026-02-19,50,c05,c12,27918,goods,2
2026-02-19,50,c09,c12,14424,shipping,5
2026-02-20,51,c01,c07,39646,shipping,3
2026-02-20,51,c01,c03,37777,services,3
2026-02-20,51,c05,c06,24587,services,1
2026-02-20,51,c04,c10,11578,components,5
2026-02-20,51,c06,c09,47235,components,3
2026-02-20,51,c05,c09,12511,materials,4
2026-02-20,51,c08,c11,37671,shipping,5
2026-02-20,51,c06,c08,15722,shipping,5
2026-02-20,51,c01,c02,5135,shipping,5
2026-02-20,51,c04,c11,25928,materials,5
2026-02-20,51,c01,c09,31791,services,1
2026-02-20,51,c06,c12,39156,components,1
2026-02-20,51,c07,c10,19856,shipping,1
2026-02-20,51,c03,c08,43469,services,3
2026-02-21,52,c05,c06,24390,materials,5
2026-02-21,52,c08,c11,7594,materials,3
2026-02-21,52,c05,c10,25258,goods,2
2026-02-21,52,c01,c02,32938,shipping,4
2026-02-21,52,c01,c09,46401,goods,1
2026-02-21,52,c06,c12,16492,shipping,1
2026-02-21,52,c07,c10,13360,materials,5
2026-02-21,52,c05,c07,40795,goods,2
2026-02-21,52,c09,c12,30640,services,3
2026-02-21,52,c03,c08,4247,goods,2
2026-02-22,53,c01,c07,14627,components,4
2026-02-22,53,c05,c06,17754,materials,5
2026-02-22,53,c02,c08,21205,shipping,3
2026-02-22,53,c05,c09,38213,goods,5
2026-02-22,53,c01,c05,4069,shipping,4
2026-02-22,53,c08,c11,29500,services,4
2026-02-22,53,c01,c02,10653,services,2
2026-02-22,53,c04,c11,32027,services,3
2026-02-22,53,c02,c03,39512,materials,2
2026-02-22,53,c06,c12,37490,goods,2
2026-02-22,53,c07,c10,40827,shipping,4
